Movie_Name,Movie_Rating,Movie_cerificate,Movie_Year,Movie_Runtime,Movie_Cast,Movie_Genre,Movie_Poster,Movie_Des
Vera Drake,7.7,R,2004,125 min,"Imelda Staunton, Jim Broadbent, Heather Craney, Richard Graham","Crime, Drama            ","https://m.media-amazon.com/images/M/MV5BZTk1ZmNhNjEtMDZjZi00MTY1LTgwMmYtZDRiNmI4ZDRiNzQ5XkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_UX67_CR0,0,67,98_AL_.jpg",Abortionist Vera Drake finds her beliefs and practices clash with the mores of 1950s Britain--a conflict that leads to tragedy for her family.
3:10 to Yuma,7.7,A,2007,122 min,"Russell Crowe, Christian Bale, Ben Foster, Logan Lerman","Action, Crime, Drama            ","https://m.media-amazon.com/images/M/MV5BODE0NTcxNTQzNF5BMl5BanBnXkFtZTcwMzczOTIzMw@@._V1_UX67_CR0,0,67,98_AL_.jpg",A small-time rancher agrees to hold a captured outlaw who's awaiting a train to go to court in Yuma. A battle of wills ensues as the outlaw tries to psych out the rancher.
Kung fu,7.7,UA,2004,99 min,"Stephen Chow, Wah Yuen, Qiu Yuen, Siu-Lung Leung","Action, Comedy, Fantasy            ","https://m.media-amazon.com/images/M/MV5BMjZiOTNlMzYtZWYwZS00YWJjLTk5NDgtODkwNjRhMDI0MjhjXkEyXkFqcGdeQXVyMjgyNjk3MzE@._V1_UY98_CR1,0,67,98_AL_.jpg","In Shanghai, China in the 1940s, a wannabe gangster aspires to join the notorious ""Axe Gang"" while residents of a housing complex exhibit extraordinary powers in defending their turf."
The Bourne Supremacy,7.7,A,2004,108 min,"Matt Damon, Franka Potente, Joan Allen, Brian Cox","Action, Mystery, Thriller            ","https://m.media-amazon.com/images/M/MV5BYTIyMDFmMmItMWQzYy00MjBiLTg2M2UtM2JiNDRhOWE4NjBhXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX67_CR0,0,67,98_AL_.jpg","When Jason Bourne is framed for a CIA operation gone awry, he is forced to resume his former life as a trained assassin to survive."
The Machinist,7.7,R,2004,101 min,"Christian Bale, Jennifer Jason Leigh, Aitana Sánchez-Gijón, John Sharian","Drama, Thriller            ","https://m.media-amazon.com/images/M/MV5BNjk1NzBlY2YtNjJmNi00YTVmLWI2OTgtNDUxNDE5NjUzZmE0XkEyXkFqcGdeQXVyNTc1NTQxODI@._V1_UX67_CR0,0,67,98_AL_.jpg",An industrial worker who hasn't slept in a year begins to doubt his own sanity.
Ray,7.7,A,I 2004,152 min,"Jamie Foxx, Regina King, Kerry Washington, Clifton Powell","Biography, Drama, Music            ","https://m.media-amazon.com/images/M/MV5BMTQxNDQwNjQzOV5BMl5BanBnXkFtZTcwNTQxNDYyMQ@@._V1_UX67_CR0,0,67,98_AL_.jpg","The story of the life and career of the legendary rhythm and blues musician Ray Charles, from his humble beginnings in the South, where he went blind at age seven, to his meteoric rise to stardom during the 1950s and 1960s."
Lost in Translation,7.7,UA,2003,102 min,"Bill Murray, Scarlett Johansson, Giovanni Ribisi, Anna Faris","Comedy, Drama            ","https://m.media-amazon.com/images/M/MV5BMTUxMzk0NDg1MV5BMl5BanBnXkFtZTgwNDg0NjkxMDI@._V1_UX67_CR0,0,67,98_AL_.jpg",A faded movie star and a neglected young woman form an unlikely bond after crossing paths in Tokyo.
Harry Potter and the Goblet of Fire,7.7,UA,2005,157 min,"Daniel Radcliffe, Emma Watson, Rupert Grint, Eric Sykes","Adventure, Family, Fantasy            ","https://m.media-amazon.com/images/M/MV5BMTI1NDMyMjExOF5BMl5BanBnXkFtZTcwOTc4MjQzMQ@@._V1_UX67_CR0,0,67,98_AL_.jpg","Harry Potter finds himself competing in a hazardous tournament between rival schools of magic, but he is distracted by recurring nightmares."
Man on Fire,7.7,UA,2004,146 min,"Denzel Washington, Christopher Walken, Dakota Fanning, Radha Mitchell","Action, Crime, Drama            ","https://m.media-amazon.com/images/M/MV5BODFlMmEwMDgtYjhmZi00ZTE5LTk2NWQtMWE1Y2M0NjkzOGYxXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX67_CR0,0,67,98_AL_.jpg","In Mexico City, a former CIA operative swears vengeance on those who committed an unspeakable act against the family he was hired to protect."
Coraline,7.7,U,2009,100 min,"Dakota Fanning, Teri Hatcher, John Hodgman, Jennifer Saunders","Animation, Drama, Family            ","https://m.media-amazon.com/images/M/MV5BMzQxNjM5NzkxNV5BMl5BanBnXkFtZTcwMzg5NDMwMg@@._V1_UX67_CR0,0,67,98_AL_.jpg","An adventurous 11-year-old girl finds another world that is a strangely idealized version of her frustrating home, but it has sinister secrets."
