Movie_Name,Movie_Rating,Movie_cerificate,Movie_Year,Movie_Runtime,Movie_Cast,Movie_Genre,Movie_Poster,Movie_Des
Da hong deng long gao gao gua,8.1,NA,1991,125 min,"Gong Li, Jingwu Ma, Saifei He, Cuifen Cao","Drama, History, Romance            ","https://m.media-amazon.com/images/M/MV5BNDMxMTc2N2ItMjI5Ny00MGFiLThkOTYtZTIyYTZhMzA2NjIzXkEyXkFqcGdeQXVyNjc3MjQzNTI@._V1_UX67_CR0,0,67,98_AL_.jpg","A young woman becomes the fourth wife of a wealthy lord, and must learn to live with the strict rules and tensions within the household."
Beauty and the Beast,8.1,U,1991,84 min,"Paige O'Hara, Robby Benson, Jesse Corti, Rex Everhart","Animation, Family, Fantasy            ","https://m.media-amazon.com/images/M/MV5BMzE5MDM1NDktY2I0OC00YWI5LTk2NzUtYjczNDczOWQxYjM0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg",A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love.
Dances with Wolves,8.1,U,1990,181 min,"Kevin Costner, Mary McDonnell, Graham Greene, Rodney A. Grant","Adventure, Drama, Western            ","https://m.media-amazon.com/images/M/MV5BMTY3OTI5NDczN15BMl5BanBnXkFtZTcwNDA0NDY3Mw@@._V1_UX67_CR0,0,67,98_AL_.jpg","Lieutenant John Dunbar, assigned to a remote western Civil War outpost, befriends wolves and Native Americans, making him an intolerable aberration in the military."
Dom za vesanje,8.1,NA,1988,142 min,"Davor Dujmovic, Bora Todorovic, Ljubica Adzovic, Husnija Hasimovic","Comedy, Crime, Drama            ","https://m.media-amazon.com/images/M/MV5BODI2ZjVlMGQtMWE5ZS00MjJiLWIyMWYtMGU5NmIxNDc0OTMyXkEyXkFqcGdeQXVyMTQ3Njg3MQ@@._V1_UX67_CR0,0,67,98_AL_.jpg","In this luminous tale set in the area around Sarajevo and in Italy, Perhan, an engaging young Romany (gypsy) with telekinetic powers, is seduced by the quick-cash world of petty crime, which threatens to destroy him and those he loves."
Dead Poets Society,8.1,U,1989,128 min,"Robin Williams, Robert Sean Leonard, Ethan Hawke, Josh Charles","Comedy, Drama            ","https://m.media-amazon.com/images/M/MV5BOGYwYWNjMzgtNGU4ZC00NWQ2LWEwZjUtMzE1Zjc3NjY3YTU1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg",Maverick teacher John Keating uses poetry to embolden his boarding school students to new heights of self-expression.
Stand by Me,8.1,U,1986,89 min,"Wil Wheaton, River Phoenix, Corey Feldman, Jerry O'Connell","Adventure, Drama            ","https://m.media-amazon.com/images/M/MV5BODJmY2Y2OGQtMDg2My00N2Q3LWJmZTUtYTc2ODBjZDVlNDlhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg","After the death of one of his friends, a writer recounts a childhood journey with his friends to find the body of a missing boy."
Platoon,8.1,UA,1986,120 min,"Charlie Sheen, Tom Berenger, Willem Dafoe, Keith David","Drama, War            ","https://m.media-amazon.com/images/M/MV5BMzRjZjdlMjQtODVkYS00N2YzLWJlYWYtMGVlN2E5MWEwMWQzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg","Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd examination of the brutality of war and the duality of man in conflict."
Jean de Florette,8.1,U,1986,120 min,"Yves Montand, Gérard Depardieu, Daniel Auteuil, Elisabeth Depardieu","Comedy, Drama            ","https://m.media-amazon.com/images/M/MV5BYjU4MmY3ZDAtNWIwZC00MDUzLThkYjgtNzNmYThmZTcwMTBjXkEyXkFqcGdeQXVyNTI2ODA2NTc@._V1_UX67_CR0,0,67,98_AL_.jpg",A greedy landowner and his backward nephew conspire to block the only water source for an adjoining property in order to bankrupt the owner and force him to sell.
The Terminator,8.1,UA,1984,107 min,"Arnold Schwarzenegger, Linda Hamilton, Michael Biehn, Paul Winfield","Action, Sci-Fi            ","https://m.media-amazon.com/images/M/MV5BYTViNzMxZjEtZGEwNy00MDNiLWIzNGQtZDY2MjQ1OWViZjFmXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX67_CR0,0,67,98_AL_.jpg","A human soldier is sent from 2029 to 1984 to stop an almost indestructible cyborg killing machine, sent from the same year, which has been programmed to execute a young woman whose unborn son is the key to humanity's future salvation."
"Paris, Texas",8.1,U,1984,145 min,"Harry Dean Stanton, Nastassja Kinski, Dean Stockwell, Sam Berry",Drama            ,"https://m.media-amazon.com/images/M/MV5BM2RjMmU3ZWItYzBlMy00ZmJkLWE5YzgtNTVkODdhOWM3NGZhXkEyXkFqcGdeQXVyNDA5Mjg5MjA@._V1_UX67_CR0,0,67,98_AL_.jpg","Travis Henderson, an aimless drifter who has been missing for four years, wanders out of the desert and must reconnect with society, himself, his life, and his family."
Gandhi,8.1,U,1982,191 min,"Ben Kingsley, John Gielgud, Rohini Hattangadi, Roshan Seth","Biography, Drama            ","https://m.media-amazon.com/images/M/MV5BMzJiZDRmOWUtYjE2MS00Mjc1LTg1ZDYtNTQxYWJkZTg1OTM4XkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_UX67_CR0,0,67,98_AL_.jpg",The life of the lawyer who became the famed leader of the Indian revolts against the British rule through his philosophy of nonviolent protest.
Fanny och Alexander,8.1,A,1982,188 min,"Bertil Guve, Pernilla Allwin, Kristina Adolphson, Börje Ahlstedt",Drama            ,"https://m.media-amazon.com/images/M/MV5BZmQzMDE5ZWQtOTU3ZS00ZjdhLWI0OTctZDNkODk4YThmOTRhL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX67_CR0,0,67,98_AL_.jpg","Two young Swedish children in the 1900s experience the many comedies and tragedies of their lively and affectionate theatrical family, the Ekdahls."
