Movie_Name,Movie_Rating,Movie_cerificate,Movie_Year,Movie_Runtime,Movie_Cast,Movie_Genre,Movie_Poster,Movie_Des
Invasion of the Body Snatchers,7.7,NA,1956,80 min,"Kevin McCarthy, Dana Wynter, Larry Gates, King Donovan","Drama, Horror, Sci-Fi            ","https://m.media-amazon.com/images/M/MV5BYTExYjM3MDYtMzg4MC00MjU4LTljZjAtYzdlMTFmYTJmYTE4XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",A small-town doctor learns that the population of his community is being replaced by emotionless alien duplicates.
Rebel Without a Cause,7.7,U,1955,111 min,"James Dean, Natalie Wood, Sal Mineo, Jim Backus",Drama            ,"https://m.media-amazon.com/images/M/MV5BMTg2ODcxOTU1OV5BMl5BanBnXkFtZTgwNzA3ODI1MDE@._V1_UX67_CR0,0,67,98_AL_.jpg","A rebellious young man with a troubled past comes to a new town, finding friends and enemies."
The Caine Mutiny,7.7,U,1954,124 min,"Humphrey Bogart, José Ferrer, Van Johnson, Fred MacMurray","Drama, War            ","https://m.media-amazon.com/images/M/MV5BMTQ4ODg4NzA3OV5BMl5BanBnXkFtZTgwMDcwODI5MjE@._V1_UX67_CR0,0,67,98_AL_.jpg","When a U.S. Naval captain shows signs of mental instability that jeopardizes the ship, the first officer relieves him of command and faces court martial for mutiny."
The Quiet Man,7.7,NA,1952,129 min,"John Wayne, Maureen O'Hara, Barry Fitzgerald, Ward Bond","Comedy, Drama, Romance            ","https://m.media-amazon.com/images/M/MV5BMWM1ZDhlM2MtNDNmMi00MDk4LTg5MjgtODE4ODk1MjYxOTIwXkEyXkFqcGdeQXVyNjc0MzMzNjA@._V1_UX67_CR0,0,67,98_AL_.jpg","A retired American boxer returns to the village of his birth in 1920s Ireland, where he falls for a spirited redhead whose brother is contemptuous of their union."
The African Queen,7.7,U,1951,105 min,"Humphrey Bogart, Katharine Hepburn, Robert Morley, Peter Bull","Adventure, Drama, Romance            ","https://m.media-amazon.com/images/M/MV5BYzM3YjE2NGMtODY3Zi00NTY0LWE4Y2EtMTE5YzNmM2U1NTg2XkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_UX67_CR0,0,67,98_AL_.jpg","In WWI East Africa, a gin-swilling Canadian riverboat captain is persuaded by a strait-laced English missionary to undertake a trip up a treacherous river and use his boat to attack a German gunship."
Fantasia,7.7,U,1940,125 min,"Leopold Stokowski, Deems Taylor, The Philadelphia Orchestra, Corey Burton","Animation, Family, Fantasy            ","https://m.media-amazon.com/images/M/MV5BMjAxMTI1Njk3OF5BMl5BanBnXkFtZTgwNjkzODk4NTE@._V1_UX67_CR0,0,67,98_AL_.jpg","A collection of animated interpretations of great works of Western classical music, ranging from the abstract to depictions of mythology and fantasy, and settings including the prehistoric, supernatural and sacred."
The Invisible Man,7.7,NA,1933,71 min,"Claude Rains, Gloria Stuart, William Harrigan, Henry Travers","Horror, Sci-Fi            ","https://m.media-amazon.com/images/M/MV5BYjllMmE0Y2YtYWIwZi00OWY1LWJhNWItYzM2MmNiYmFiZmRmXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX67_CR0,0,67,98_AL_.jpg","A scientist finds a way of becoming invisible, but in doing so, he becomes murderously insane."
Scarface,7.7,NA,1932,93 min,"Paul Muni, Ann Dvorak, Karen Morley, Osgood Perkins","Action, Crime, Drama            ","https://m.media-amazon.com/images/M/MV5BYmMxZTU2ZDUtM2Y1MS00ZWFmLWJlN2UtNzI0OTJiOTYzMTk3XkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_UX67_CR0,0,67,98_AL_.jpg","An ambitious and nearly insane violent gangster climbs the ladder of success in the mob, but his weaknesses prove to be his downfall."
Dark Waters,7.6,PG-13,2019,126 min,"Mark Ruffalo, Anne Hathaway, Tim Robbins, Bill Pullman","Biography, Drama, History            ","https://m.media-amazon.com/images/M/MV5BODQ0M2Y5M2QtZGIwMC00MzJjLThlMzYtNmE3ZTMzZTYzOGEwXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",A corporate defense attorney takes on an environmental lawsuit against a chemical company that exposes a lengthy history of pollution.
Searching,7.6,U/A,III 2018,102 min,"John Cho, Debra Messing, Joseph Lee, Michelle La","Drama, Mystery, Thriller            ","https://m.media-amazon.com/images/M/MV5BMjIwOTA3NDI3MF5BMl5BanBnXkFtZTgwNzIzMzA5NTM@._V1_UX67_CR0,0,67,98_AL_.jpg","After his teenage daughter goes missing, a desperate father tries to find clues on her laptop."
