Movie_Name,Movie_Rating,Movie_cerificate,Movie_Year,Movie_Runtime,Movie_Cast,Movie_Genre,Movie_Poster,Movie_Des
Kal Ho Naa Ho,8.0,U,2003,186 min,"Preity Zinta, Shah Rukh Khan, Saif Ali Khan, Jaya Bachchan","Comedy, Drama, Musical            ","https://m.media-amazon.com/images/M/MV5BYmVjNDIxODAtNWZiZi00ZDBlLWJmOTUtNDNjMGExNTViMzE1XkEyXkFqcGdeQXVyNTE0MDc0NTM@._V1_UX67_CR0,0,67,98_AL_.jpg","Naina, an introverted, perpetually depressed girl's life changes when she meets Aman. But Aman has a secret of his own which changes their lives forever. Embroiled in all this is Rohit, Naina's best friend who conceals his love for her."
Mou gaan dou,8.0,UA,2002,101 min,"Andy Lau, Tony Chiu-Wai Leung, Anthony Chau-Sang Wong, Eric Tsang","Action, Crime, Drama            ","https://m.media-amazon.com/images/M/MV5BZWM1MTdhM2YtNjgwZS00YjQ3LTk3NTQtMzQ1NDE3YzZlODFlXkEyXkFqcGdeQXVyMTI3ODAyMzE2._V1_UY98_CR4,0,67,98_AL_.jpg","A story between a mole in the police department and an undercover cop. Their objectives are the same: to find out who is the mole, and who is the cop."
Big Fish,8.0,U,2003,125 min,"Ewan McGregor, Albert Finney, Billy Crudup, Jessica Lange","Adventure, Drama, Fantasy            ","https://m.media-amazon.com/images/M/MV5BMmU3NzIyODctYjVhOC00NzBmLTlhNWItMzBlODEwZTlmMjUzXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_UX67_CR0,0,67,98_AL_.jpg",A frustrated son tries to determine the fact from fiction in his dying father's life.
Yeopgijeogin geunyeo,8.0,NA,2001,137 min,"Tae-Hyun Cha, Jun Ji-hyun, In-mun Kim, Song Wok-suk","Comedy, Drama, Romance            ","https://m.media-amazon.com/images/M/MV5BMjM2NTYxMTE3OV5BMl5BanBnXkFtZTgwNDgwNjgwMzE@._V1_UY98_CR3,0,67,98_AL_.jpg","A young man sees a drunk, cute woman standing too close to the tracks at a metro station in Seoul and pulls her back. She ends up getting him into trouble repeatedly after that, starting on the train."
Dogville,8.0,7,2003,178 min,"Nicole Kidman, Paul Bettany, Lauren Bacall, Harriet Andersson","Crime, Drama            ","https://m.media-amazon.com/images/M/MV5BMTkwNTg2MTI1NF5BMl5BanBnXkFtZTcwMDM1MzUyMQ@@._V1_UX67_CR0,0,67,98_AL_.jpg","A woman on the run from the mob is reluctantly accepted in a small Colorado community in exchange for labor, but when a search visits the town she finds out that their support has a price."
Vizontele,8.0,NA,2001,110 min,"Yilmaz Erdogan, Demet Akbag, Altan Erkekli, Cem Yilmaz","Comedy, Drama            ","https://m.media-amazon.com/images/M/MV5BMjA2MzM4NjkyMF5BMl5BanBnXkFtZTYwMTQ2ODc5._V1_UY98_CR2,0,67,98_AL_.jpg","Lives of residents in a small, Anatolian village change when television is introduced to them."
Donnie Darko,8.0,UA,2001,113 min,"Jake Gyllenhaal, Jena Malone, Mary McDonnell, Holmes Osborne","Drama, Mystery, Sci-Fi            ","https://m.media-amazon.com/images/M/MV5BZjZlZDlkYTktMmU1My00ZDBiLWFlNjEtYTBhNjVhOTM4ZjJjXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX67_CR0,0,67,98_AL_.jpg","After narrowly escaping a bizarre accident, a troubled teenager is plagued by visions of a man in a large rabbit suit who manipulates him to commit a series of crimes."
Magnolia,8.0,A,1999,188 min,"Tom Cruise, Jason Robards, Julianne Moore, Philip Seymour Hoffman",Drama            ,"https://m.media-amazon.com/images/M/MV5BZjk3YThkNDktNjZjMS00MTBiLTllNTAtYzkzMTU0N2QwYjJjXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX67_CR0,0,67,98_AL_.jpg","An epic mosaic of interrelated characters in search of love, forgiveness, and meaning in the San Fernando Valley."
Dancer in the Dark,8.0,U,2000,140 min,"Björk, Catherine Deneuve, David Morse, Peter Stormare","Crime, Drama, Musical            ","https://m.media-amazon.com/images/M/MV5BNDVkYWMxNWEtNjc2MC00OGI5LWI3NmUtYWUwNDQyOTc3YmY5XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg",An Eastern European US immigrant with a love for musicals has to cope with the gradual loss of her vision.
The Straight Story,8.0,U,1999,112 min,"Richard Farnsworth, Sissy Spacek, Jane Galloway Heitz, Joseph A. Carpenter","Biography, Drama            ","https://m.media-amazon.com/images/M/MV5BM2UxYTMwMWUtOGM1OS00MDI4LWFhNTUtOTA4NWI2ZjEwNmMxXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_UX67_CR0,0,67,98_AL_.jpg",An old man makes a long journey by lawnmower to mend his relationship with an ill brother.
Pâfekuto burû,8.0,A,1997,81 min,"Junko Iwao, Rica Matsumoto, Shinpachi Tsuji, Masaaki Ôkura","Animation, Crime, Drama            ","https://m.media-amazon.com/images/M/MV5BMmMzOWNhNTYtYmY0My00OGJiLWIzNDUtZWRhNGY0NWFjNzFmXkEyXkFqcGdeQXVyNjUxMDQ0MTg@._V1_UX67_CR0,0,67,98_AL_.jpg","A pop singer gives up her career to become an actress, but she slowly goes insane when she starts being stalked by an obsessed fan and what seems to be a ghost of her past."
Central do Brasil,8.0,R,1998,110 min,"Fernanda Montenegro, Vinícius de Oliveira, Marília Pêra, Soia Lira",Drama            ,"https://m.media-amazon.com/images/M/MV5BODMxMTEyZmQtODU1OC00Y2I5LWI3NmMtOGFiZTcxNTVmOTQ5XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY98_CR0,0,67,98_AL_.jpg","The emotive journey of a former schoolteacher who writes letters for illiterate people, and a young boy whose mother has just died, as they search for the father he never knew."
La leggenda del pianista sull'oceano,8.0,Not Rated,1998,169 min,"Tim Roth, Pruitt Taylor Vince, Mélanie Thierry, Bill Nunn","Drama, Music, Romance            ","https://m.media-amazon.com/images/M/MV5BMzIwOTdmNjQtOWQ1ZS00ZWQ4LWIxYTMtOWFkM2NjODJiMGY4L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNTI4MjkwNjA@._V1_UX67_CR0,0,67,98_AL_.jpg","A baby boy, discovered in 1900 on an ocean liner, grows into a musical prodigy, never setting foot on land."
