Movie_Name,Movie_Rating,Movie_cerificate,Movie_Year,Movie_Runtime,Movie_Cast,Movie_Genre,Movie_Poster,Movie_Des
Pather Panchali,8.4,U,1955,125 min,"Kanu Bannerjee, Karuna Bannerjee, Subir Banerjee, Chunibala Devi",Drama            ,"https://m.media-amazon.com/images/M/MV5BMmFkNDY5OTktNzY3Yy00OTFlLThhNjktOTRhMmZjZmIxYjAxXkEyXkFqcGdeQXVyNTgyNTA4MjM@._V1_UX67_CR0,0,67,98_AL_.jpg","Impoverished priest Harihar Ray, dreaming of a better life for himself and his family, leaves his rural Bengal village in search of work."
Sunset Blvd.,8.4,NA,1950,110 min,"William Holden, Gloria Swanson, Erich von Stroheim, Nancy Olson","Drama, Film-Noir            ","https://m.media-amazon.com/images/M/MV5BMTU0NTkyNzYwMF5BMl5BanBnXkFtZTgwMDU0NDk5MTI@._V1_UX67_CR0,0,67,98_AL_.jpg",A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.
The Great Dictator,8.4,NA,1940,125 min,"Charles Chaplin, Paulette Goddard, Jack Oakie, Reginald Gardiner","Comedy, Drama, War            ","https://m.media-amazon.com/images/M/MV5BMmExYWJjNTktNGUyZS00ODhmLTkxYzAtNWIzOGEyMGNiMmUwXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX67_CR0,0,67,98_AL_.jpg",Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.
1917,8.3,R,2019,119 min,"Dean-Charles Chapman, George MacKay, Daniel Mays, Colin Firth","Action, Drama, War            ","https://m.media-amazon.com/images/M/MV5BOTdmNTFjNDEtNzg0My00ZjkxLTg1ZDAtZTdkMDc2ZmFiNWQ1XkEyXkFqcGdeQXVyNTAzNzgwNTg@._V1_UX67_CR0,0,67,98_AL_.jpg","April 6th, 1917. As an infantry battalion assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap."
Tumbbad,8.3,A,2018,104 min,"Sohum Shah, Jyoti Malshe, Anita Date, Ronjini Chakraborty","Drama, Fantasy, Horror            ","https://m.media-amazon.com/images/M/MV5BYmQxNmU4ZjgtYzE5Mi00ZDlhLTlhOTctMzJkNjk2ZGUyZGEwXkEyXkFqcGdeQXVyMzgxMDA0Nzk@._V1_UY98_CR1,0,67,98_AL_.jpg",A mythological story about a goddess who created the entire universe. The plot revolves around the consequences when humans build a temple for her first-born.
Baahubali 2: The Conclusion,8.3,UA,2017,167 min,"Prabhas, Rana Daggubati, Anushka Shetty, Tamannaah Bhatia","Action, Drama            ","https://m.media-amazon.com/images/M/MV5BOGNlNmRkMjctNDgxMC00NzFhLWIzY2YtZDk3ZDE0NWZhZDBlXkEyXkFqcGdeQXVyODIwMDI1NjM@._V1_UX67_CR0,0,67,98_AL_.jpg","When Shiva, the son of Bahubali, learns about his heritage, he begins to look for answers. His story is juxtaposed with past events that unfolded in the Mahishmati Kingdom."
Drishyam,8.3,U,2013,160 min,"Mohanlal, Meena, Asha Sharath, Ansiba","Crime, Drama, Thriller            ","https://m.media-amazon.com/images/M/MV5BYmY3MzYwMGUtOWMxYS00OGVhLWFjNmUtYzlkNGVmY2ZkMjA3XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY98_CR4,0,67,98_AL_.jpg",A man goes to extreme lengths to save his family from punishment after the family commits an accidental crime.
Bhaag Milkha Bhaag,8.3,U,2013,186 min,"Farhan Akhtar, Japtej Singh, Divya Dutta, Pawan Malhotra","Biography, Drama, Sport            ","https://m.media-amazon.com/images/M/MV5BMTY1Nzg4MjcwN15BMl5BanBnXkFtZTcwOTc1NTk1OQ@@._V1_UY98_CR0,0,67,98_AL_.jpg","The truth behind the ascension of Milkha Singh, who was scarred by of the India-Pakistan partition."
Jagten,8.3,7,2012,115 min,"Mads Mikkelsen, Thomas Bo Larsen, Annika Wedderkopp, Lasse Fogelstrøm",Drama            ,"https://m.media-amazon.com/images/M/MV5BMTg2NDg3ODg4NF5BMl5BanBnXkFtZTcwNzk3NTc3Nw@@._V1_UY98_CR1,0,67,98_AL_.jpg","A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie."
Jodaeiye Nader az Simin,8.3,7,2011,123 min,"Payman Maadi, Leila Hatami, Sareh Bayat, Shahab Hosseini",Drama            ,"https://m.media-amazon.com/images/M/MV5BN2JmMjViMjMtZTM5Mi00ZGZkLTk5YzctZDg5MjFjZDE4NjNkXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX67_CR0,0,67,98_AL_.jpg",A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.
Incendies,8.3,18,2010,131 min,"Lubna Azabal, Mélissa Désormeaux-Poulin, Maxim Gaudette, Mustafa Kamel","Drama, Mystery, War            ","https://m.media-amazon.com/images/M/MV5BMWE3MGYzZjktY2Q5Mi00Y2NiLWIyYWUtMmIyNzA3YmZlMGFhXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX67_CR0,0,67,98_AL_.jpg",Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.
Kimetsu no Yaiba: Mugen Ressha-Hen,8.3,UA,2020,117 min,"Natsuki Hanae, Akari Kitô, Yoshitsugu Matsuoka, Hiro Shimono","Animation, Action, Adventure            ","https://m.media-amazon.com/images/M/MV5BODI2NjdlYWItMTE1ZC00YzI2LTlhZGQtNzE3NzA4MWM0ODYzXkEyXkFqcGdeQXVyNjU1OTg4OTM@._V1_UX67_CR0,0,67,98_AL_.jpg","After his family was brutally murdered and his sister turned into a demon, Tanjiro Kamado's journey as a demon slayer began. Tanjiro and his comrades embark on a new mission aboard the Mugen Train, on track to despair."
Up,8.3,U,2009,96 min,"Edward Asner, Jordan Nagai, John Ratzenberger, Christopher Plummer","Animation, Adventure, Comedy            ","https://m.media-amazon.com/images/M/MV5BMTk3NDE2NzI4NF5BMl5BanBnXkFtZTgwNzE1MzEyMTE@._V1_UX67_CR0,0,67,98_AL_.jpg","78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway."
The Father,8.3,UA,I 2020,97 min,"Anthony Hopkins, Olivia Colman, Mark Gatiss, Olivia Williams","Drama, Mystery            ","https://m.media-amazon.com/images/M/MV5BZGJhNWRiOWQtMjI4OS00ZjcxLTgwMTAtMzQ2ODkxY2JkOTVlXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX67_CR0,0,67,98_AL_.jpg","A man refuses all assistance from his daughter as he ages. As he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his reality."
Babam ve Oglum,8.3,NA,2005,112 min,"Eser Sariyar, Çetin Tekindor, Fikret Kuskan, Hümeyra","Drama, Family            ","https://m.media-amazon.com/images/M/MV5BNjAzMzEwYzctNjc1MC00Nzg5LWFmMGItMTgzYmMyNTY2OTQ4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UY98_CR0,0,67,98_AL_.jpg",The family of a left-wing journalist is torn apart after the military coup of Turkey in 1980.
Toy Story 3,8.3,U,2010,103 min,"Tom Hanks, Tim Allen, Joan Cusack, Ned Beatty","Animation, Adventure, Comedy            ","https://m.media-amazon.com/images/M/MV5BMTgxOTY4Mjc0MF5BMl5BanBnXkFtZTcwNTA4MDQyMw@@._V1_UY98_CR1,0,67,98_AL_.jpg","The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home."
Batman Begins,8.3,UA,2005,140 min,"Christian Bale, Michael Caine, Ken Watanabe, Liam Neeson","Action, Crime, Drama            ","https://m.media-amazon.com/images/M/MV5BOTY4YjI2N2MtYmFlMC00ZjcyLTg3YjEtMDQyM2ZjYzQ5YWFkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg","After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption."
Inglourious Basterds,8.3,A,2009,153 min,"Brad Pitt, Diane Kruger, Eli Roth, Mélanie Laurent","Adventure, Drama, War            ","https://m.media-amazon.com/images/M/MV5BOTJiNDEzOWYtMTVjOC00ZjlmLWE0NGMtZmE1OWVmZDQ2OWJhXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_UX67_CR0,0,67,98_AL_.jpg","In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same."
Eternal Sunshine of the Spotless Mind,8.3,UA,2004,108 min,"Jim Carrey, Kate Winslet, Tom Wilkinson, Gerry Robert Byrne","Drama, Romance, Sci-Fi            ","https://m.media-amazon.com/images/M/MV5BMTY4NzcwODg3Nl5BMl5BanBnXkFtZTcwNTEwOTMyMw@@._V1_UX67_CR0,0,67,98_AL_.jpg","When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories."
Le fabuleux destin d'Amélie Poulain,8.3,U,2001,122 min,"Audrey Tautou, Mathieu Kassovitz, Rufus, Lorella Cravotta","Comedy, Romance            ","https://m.media-amazon.com/images/M/MV5BNDg4NjM1YjMtYmNhZC00MjM0LWFiZmYtNGY1YjA3MzZmODc5XkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_UX67_CR0,0,67,98_AL_.jpg","Amélie is an innocent and naive girl in Paris with her own sense of justice. She decides to help those around her and, along the way, discovers love."
Snatch,8.3,UA,2000,104 min,"Jason Statham, Brad Pitt, Stephen Graham, Vinnie Jones","Comedy, Crime            ","https://m.media-amazon.com/images/M/MV5BMTA2NDYxOGYtYjU1Mi00Y2QzLTgxMTQtMWI1MGI0ZGQ5MmU4XkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_UY98_CR0,0,67,98_AL_.jpg","Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond."
Requiem for a Dream,8.3,A,2000,102 min,"Ellen Burstyn, Jared Leto, Jennifer Connelly, Marlon Wayans",Drama            ,"https://m.media-amazon.com/images/M/MV5BOTdiNzJlOWUtNWMwNS00NmFlLWI0YTEtZmI3YjIzZWUyY2Y3XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX67_CR0,0,67,98_AL_.jpg",The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.
L.A. Confidential,8.3,A,1997,138 min,"Kevin Spacey, Russell Crowe, Guy Pearce, Kim Basinger","Crime, Drama, Mystery            ","https://m.media-amazon.com/images/M/MV5BMDQ2YzEyZGItYWRhOS00MjBmLTkzMDUtMTdjYzkyMmQxZTJlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX67_CR0,0,67,98_AL_.jpg","As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice."
Good Will Hunting,8.3,U,1997,126 min,"Robin Williams, Matt Damon, Ben Affleck, Stellan Skarsgård","Drama, Romance            ","https://m.media-amazon.com/images/M/MV5BOTI0MzcxMTYtZDVkMy00NjY1LTgyMTYtZmUxN2M3NmQ2NWJhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg","Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life."
Toy Story,8.3,U,1995,81 min,"Tom Hanks, Tim Allen, Don Rickles, Jim Varney","Animation, Adventure, Comedy            ","https://m.media-amazon.com/images/M/MV5BMDU2ZWJlMjktMTRhMy00ZTA5LWEzNDgtYmNmZTEwZTViZWJkXkEyXkFqcGdeQXVyNDQ2OTk4MzI@._V1_UX67_CR0,0,67,98_AL_.jpg",A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.
