Movie_Name,Movie_Rating,Movie_cerificate,Movie_Year,Movie_Runtime,Movie_Cast,Movie_Genre,Movie_Poster,Movie_Des
Jai Bhim,9.5,A,2021,164 min,"Suriya, Lijo Mol Jose, Manikandan K., Rajisha Vijayan","Crime, Drama, Mystery            ","https://m.media-amazon.com/images/M/MV5BY2Y5ZWMwZDgtZDQxYy00Mjk0LThhY2YtMmU1MTRmMjVhMjRiXkEyXkFqcGdeQXVyMTI1NDEyNTM5._V1_UY98_CR5,0,67,98_AL_.jpg","When a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice."
Soorarai Pottru,9.3,U,2020,153 min,"Suriya, Paresh Rawal, Mohan Babu, Malini Sathappan",Drama            ,"https://m.media-amazon.com/images/M/MV5BOGVjYmM0ZWEtNTFjNi00MWZjLTk3OTItMmFjMDAzZWU1ZDVjXkEyXkFqcGdeQXVyMTI2Mzk1ODg0._V1_UX67_CR0,0,67,98_AL_.jpg","Nedumaaran Rajangam ""Maara"" sets out to make the common man fly and in the process takes on the world's most capital intensive industry and several enemies who stand in his way."
The Shawshank Redemption,9.3,A,1994,142 min,"Tim Robbins, Morgan Freeman, Bob Gunton, William Sadler",Drama            ,"https://m.media-amazon.com/images/M/MV5BMDFkYTc0MGEtZmNhMC00ZDIzLWFmNTEtODM1ZmRlYWMwMWFmXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX67_CR0,0,67,98_AL_.jpg","Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency."
The Godfather,9.2,A,1972,175 min,"Marlon Brando, Al Pacino, James Caan, Diane Keaton","Crime, Drama            ","https://m.media-amazon.com/images/M/MV5BM2MyNjYxNmUtYTAwNi00MTYxLWJmNWYtYzZlODY3ZTk3OTFlXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY98_CR1,0,67,98_AL_.jpg",The aging patriarch of an organized crime dynasty in postwar New York City transfers control of his clandestine empire to his reluctant youngest son.
The Dark Knight,9.1,UA,2008,152 min,"Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine","Action, Crime, Drama            ","https://m.media-amazon.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@._V1_UX67_CR0,0,67,98_AL_.jpg","When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice."
The Lord of the Rings: The Return of the King,9.0,U,2003,201 min,"Elijah Wood, Viggo Mortensen, Ian McKellen, Orlando Bloom","Action, Adventure, Drama            ","https://m.media-amazon.com/images/M/MV5BNzA5ZDNlZWMtM2NhNS00NDJjLTk4NDItYTRmY2EwMWZlMTY3XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX67_CR0,0,67,98_AL_.jpg",Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.
Schindler's List,9.0,A,1993,195 min,"Liam Neeson, Ralph Fiennes, Ben Kingsley, Caroline Goodall","Biography, Drama, History            ","https://m.media-amazon.com/images/M/MV5BNDE4OTMxMTctNmRhYy00NWE2LTg3YzItYTk3M2UwOTU5Njg4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX67_CR0,0,67,98_AL_.jpg","In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis."
The Godfather: Part II,9.0,A,1974,202 min,"Al Pacino, Robert De Niro, Robert Duvall, Diane Keaton","Crime, Drama            ","https://m.media-amazon.com/images/M/MV5BMWMwMGQzZTItY2JlNC00OWZiLWIyMDctNDk2ZDQ2YjRjMWQ0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY98_CR1,0,67,98_AL_.jpg","The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate."
12 Angry Men,9.0,U,1957,96 min,"Henry Fonda, Lee J. Cobb, Martin Balsam, John Fiedler","Crime, Drama            ","https://m.media-amazon.com/images/M/MV5BMWU4N2FjNzYtNTVkNC00NzQ0LTg0MjAtYTJlMjFhNGUxZDFmXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX67_CR0,0,67,98_AL_.jpg",The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.
Dara iz Jasenovca,8.9,R,2020,130 min,"Biljana Cekic, Zlatan Vidovic, Anja Stanic, Luka Saranovic","Drama, War            ","https://m.media-amazon.com/images/M/MV5BYjA2NWY5M2YtZTZiNi00Y2IxLTk0NzgtYjQxYjYxNjVkMjM1XkEyXkFqcGdeQXVyOTIxNTAyMzU@._V1_UX67_CR0,0,67,98_AL_.jpg",Follows the story of a young girl named Dara who is sent to a concentration camp in Croatia during World War 2.
