Movie_Name,Movie_Rating,Movie_cerificate,Movie_Year,Movie_Runtime,Movie_Cast,Movie_Genre,Movie_Poster,Movie_Des
Ferris Bueller's Day Off,7.8,U,1986,103 min,"Matthew Broderick, Alan Ruck, Mia Sara, Jeffrey Jones",Comedy            ,"https://m.media-amazon.com/images/M/MV5BMDA0NjZhZWUtNmI2NC00MmFjLTgwZDYtYzVjZmNhMDVmOTBkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg","A high school wise guy is determined to have a day off from school, despite what the Principal thinks of that."
The Breakfast Club,7.8,UA,1985,97 min,"Emilio Estevez, Judd Nelson, Molly Ringwald, Ally Sheedy","Comedy, Drama            ","https://m.media-amazon.com/images/M/MV5BOTM5N2ZmZTMtNjlmOS00YzlkLTk3YjEtNTU1ZmQ5OTdhODZhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg",Five high school students meet in Saturday detention and discover how they have a lot more in common than they thought.
The Killing Fields,7.8,A,1984,141 min,"Sam Waterston, Haing S. Ngor, John Malkovich, Julian Sands","Biography, Drama, History            ","https://m.media-amazon.com/images/M/MV5BMGI0NzI5YjAtNTg0MS00NDA2LWE5ZWItODRmOTAxOTAxYjg2L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNTI4MjkwNjA@._V1_UX67_CR0,0,67,98_AL_.jpg","A journalist is trapped in Cambodia during tyrant Pol Pot's bloody 'Year Zero' cleansing campaign, which claimed the lives of two million 'undesirable' civilians."
Ghostbusters,7.8,UA,1984,105 min,"Bill Murray, Dan Aykroyd, Sigourney Weaver, Harold Ramis","Action, Comedy, Fantasy            ","https://m.media-amazon.com/images/M/MV5BMTkxMjYyNzgwMl5BMl5BanBnXkFtZTgwMTE3MjYyMTE@._V1_UX67_CR0,0,67,98_AL_.jpg","Three parapsychologists forced out of their university funding set up shop as a unique ghost removal service in New York City, attracting frightened yet skeptical customers."
The Right Stuff,7.8,UA,1983,193 min,"Sam Shepard, Scott Glenn, Ed Harris, Dennis Quaid","Adventure, Biography, Drama            ","https://m.media-amazon.com/images/M/MV5BOTUwMDA3MTYtZjhjMi00ODFmLTg5ZTAtYzgwN2NlODgzMmUwXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX67_CR0,0,67,98_AL_.jpg","The U.S. space program's development from the breaking of the sound barrier to selection of the Mercury 7 astronauts, from a group of test pilots with a more seat-of-the-pants approach than the program's more cautious engineers preferred."
The King of Comedy,7.8,U,1982,109 min,"Robert De Niro, Jerry Lewis, Diahnne Abbott, Sandra Bernhard","Comedy, Crime, Drama            ","https://m.media-amazon.com/images/M/MV5BMTViNjlkYjgtMmE3Zi00ZGVkLTkyMjMtNzc3YzAwNzNiODQ1XkEyXkFqcGdeQXVyMjA0MzYwMDY@._V1_UX67_CR0,0,67,98_AL_.jpg","Rupert Pupkin is a passionate yet unsuccessful comic who craves nothing more than to be in the spotlight and to achieve this, he stalks and kidnaps his idol to take the spotlight for himself."
Ordinary People,7.8,U,1980,124 min,"Donald Sutherland, Mary Tyler Moore, Judd Hirsch, Timothy Hutton",Drama            ,"https://m.media-amazon.com/images/M/MV5BNWU3MDFkYWQtMWQ5YS00YTcwLThmNDItODY4OWE2ZTdhZmIwXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_UX67_CR0,0,67,98_AL_.jpg","The accidental death of the older son of an affluent family deeply strains the relationships among the bitter mother, the good-natured father, and the guilt-ridden younger son."
Kramer vs. Kramer,7.8,U,1979,105 min,"Dustin Hoffman, Meryl Streep, Jane Alexander, Justin Henry",Drama            ,"https://m.media-amazon.com/images/M/MV5BNDM3YjNlYmMtOGY3NS00MmRjLWIyY2UtNDA0MWM3OTNlZTY2XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg","After his wife leaves him, a work-obsessed Manhattan advertising executive is forced to learn long-neglected parenting skills, but a heated custody battle over the couple's young son deepens the wounds left by the separation."
All That Jazz,7.8,A,1979,123 min,"Roy Scheider, Jessica Lange, Ann Reinking, Leland Palmer","Drama, Music, Musical            ","https://m.media-amazon.com/images/M/MV5BZjVlZTdlNDgtZTc5OS00YzQ2LWI1OTQtNmY2NDQ5Mjg0NTNiXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_UX67_CR0,0,67,98_AL_.jpg","Director/choreographer Bob Fosse tells his own life story as he details the sordid career of Joe Gideon, a womanizing, drug-using dancer."
Days of Heaven,7.8,NA,1978,94 min,"Richard Gere, Brooke Adams, Sam Shepard, Linda Manz","Drama, Romance            ","https://m.media-amazon.com/images/M/MV5BZjMyZmU4OGYtNjBiYS00YTIxLWJjMDUtZjczZmQwMTM4YjQxXkEyXkFqcGdeQXVyNTI4MjkwNjA@._V1_UX67_CR0,0,67,98_AL_.jpg",A hot-tempered farm laborer convinces the woman he loves to marry their rich but dying boss so that they can have a claim to his fortune.
The Outlaw Josey Wales,7.8,UA,1976,135 min,"Clint Eastwood, Sondra Locke, Chief Dan George, Bill McKinney",Western            ,"https://m.media-amazon.com/images/M/MV5BMjIxNDYxMTk2MF5BMl5BanBnXkFtZTgwMjQxNjU3MTE@._V1_UY98_CR0,0,67,98_AL_.jpg",Missouri farmer Josey Wales joins a Confederate guerrilla unit and winds up on the run from the Union soldiers who murdered his family.
The Man Who Would Be King,7.8,U,1975,129 min,"Sean Connery, Michael Caine, Christopher Plummer, Saeed Jaffrey","Adventure, History, War            ","https://m.media-amazon.com/images/M/MV5BZWQzYjBjZmQtZDFiOS00ZDQ1LWI4MDAtMDk1NGE1NDBhYjNhL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX67_CR0,0,67,98_AL_.jpg","Two former British soldiers in 1880s India decide to set themselves up as Kings in Kafiristan, a land where no white man has set foot since Alexander the Great."
La montaña sagrada,7.8,Not Rated,1973,114 min,"Alejandro Jodorowsky, Horacio Salinas, Zamira Saunders, Juan Ferrara","Adventure, Drama, Fantasy            ","https://m.media-amazon.com/images/M/MV5BN2IzM2I5NTQtMTIyMy00YWM2LWI1OGMtNjI0MWIyNDZkZGFkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg","In a corrupt, greed-fueled world, a powerful alchemist leads a messianic character and seven materialistic figures to the Holy Mountain, where they hope to achieve enlightenment."
The Conversation,7.8,U,1974,113 min,"Gene Hackman, John Cazale, Allen Garfield, Frederic Forrest","Drama, Mystery, Thriller            ","https://m.media-amazon.com/images/M/MV5BNzZlMThlYzktMDlmZC00YTI1LThlNzktZWU0MTY4ODc2ZWY4XkEyXkFqcGdeQXVyNTA1NjYyMDk@._V1_UX67_CR0,0,67,98_AL_.jpg","A paranoid, secretive surveillance expert has a crisis of conscience when he suspects that the couple he is spying on will be murdered."
The Day of the Jackal,7.8,A,1973,143 min,"Edward Fox, Terence Alexander, Michel Auclair, Alan Badel","Crime, Drama, Thriller            ","https://m.media-amazon.com/images/M/MV5BZDM1NTk1NDItNTE3ZC00ZTE5LWEwNTAtOGFiMzk5OGY5NWI0XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_UX67_CR0,0,67,98_AL_.jpg","In the aftermath of France allowing Algeria's independence, a group of resentful military veterans hire a professional assassin codenamed ""Jackal"" to kill President Charles de Gaulle."
Badlands,7.8,NA,1973,94 min,"Martin Sheen, Sissy Spacek, Warren Oates, Ramon Bieri","Action, Crime, Drama            ","https://m.media-amazon.com/images/M/MV5BMDcxNjhiOTEtMzQ0YS00OTBhLTkxM2QtN2UyZDMzNzIzNWFlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY98_CR1,0,67,98_AL_.jpg",An impressionable teenage girl from a dead-end town and her older greaser boyfriend embark on a killing spree in the South Dakota badlands.
Le charme discret de la bourgeoisie,7.8,NA,1972,102 min,"Fernando Rey, Delphine Seyrig, Paul Frankeur, Bulle Ogier",Comedy            ,"https://m.media-amazon.com/images/M/MV5BMzc0YTMxZmEtZGQzMS00NWMzLWJmOTUtZDQ4YjJkOTAwYjI4XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_UX67_CR0,0,67,98_AL_.jpg","A surreal, virtually plotless series of dreams centered around six middle-class people and their consistently interrupted attempts to have a meal together."
Cabaret,7.8,A,1972,124 min,"Liza Minnelli, Michael York, Helmut Griem, Joel Grey","Drama, Music, Musical            ","https://m.media-amazon.com/images/M/MV5BYzEzZWU3ZTctMGRmZi00YTBiLThhN2UtNzRmNjI5ZGRhOTJlXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_UX67_CR0,0,67,98_AL_.jpg",A female girlie club entertainer in Weimar Republic era Berlin romances two men while the Nazi Party rises to power around them.
Willy Wonka & the Chocolate Factory,7.8,U,1971,100 min,"Gene Wilder, Jack Albertson, Peter Ostrum, Roy Kinnear","Family, Fantasy, Musical            ","https://m.media-amazon.com/images/M/MV5BZTllNDU0ZTItYTYxMC00OTI4LThlNDAtZjNiNzdhMWZiYjNmXkEyXkFqcGdeQXVyNzY1NDgwNjQ@._V1_UX67_CR0,0,67,98_AL_.jpg",A poor but hopeful boy seeks one of the five coveted golden tickets that will send him on a tour of Willy Wonka's mysterious chocolate factory.
Midnight Cowboy,7.8,A,1969,113 min,"Dustin Hoffman, Jon Voight, Sylvia Miles, John McGiver",Drama            ,"https://m.media-amazon.com/images/M/MV5BNTgwZmIzMmYtZjE3Yy00NzgzLTgxNmUtNjlmZDlkMzlhOTJkXkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_UX67_CR0,0,67,98_AL_.jpg","A naive hustler travels from Texas to New York City to seek personal fortune, finding a new friend in the process."
Night of the Living Dead,7.8,A,1968,96 min,"Duane Jones, Judith O'Dea, Karl Hardman, Marilyn Eastman","Horror, Thriller            ","https://m.media-amazon.com/images/M/MV5BMzRmN2E1ZDUtZDc2ZC00ZmI3LTkwOTctNzE2ZDIzMGJiMTYzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg",A ragtag group of Pennsylvanians barricade themselves in an old farmhouse to remain safe from a horde of flesh-eating ghouls that are ravaging the East Coast of the United States.
Guess Who's Coming to Dinner,7.8,NA,1967,108 min,"Spencer Tracy, Sidney Poitier, Katharine Hepburn, Katharine Houghton","Comedy, Drama            ","https://m.media-amazon.com/images/M/MV5BZTVmMTk2NjUtNjVjNC00OTcwLWE4OWEtNzA4Mjk1ZmIwNDExXkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_UX67_CR0,0,67,98_AL_.jpg",A couple's attitudes are challenged when their daughter introduces them to her African-American fiancé.
Bonnie and Clyde,7.8,A,1967,111 min,"Warren Beatty, Faye Dunaway, Michael J. Pollard, Gene Hackman","Action, Biography, Crime            ","https://m.media-amazon.com/images/M/MV5BOTViZmMwOGEtYzc4Yy00ZGQ1LWFkZDQtMDljNGZlMjAxMjhiXkEyXkFqcGdeQXVyNzM0MTUwNTY@._V1_UX67_CR0,0,67,98_AL_.jpg","Bored waitress Bonnie Parker falls in love with an ex-con named Clyde Barrow and together they start a violent crime spree through the country, stealing cars and robbing banks."
Les parapluies de Cherbourg,7.8,NA,1964,91 min,"Catherine Deneuve, Nino Castelnuovo, Anne Vernon, Marc Michel","Drama, Musical, Romance            ","https://m.media-amazon.com/images/M/MV5BZmMyNzg3MGYtZTllNS00MjVjLWI0NmQtMTZlNzBmZjBjZTZmXkEyXkFqcGdeQXVyMjgyNjk3MzE@._V1_UX67_CR0,0,67,98_AL_.jpg",A young woman separated from her lover by war faces a life-altering decision.
My Fair Lady,7.8,U,1964,170 min,"Audrey Hepburn, Rex Harrison, Stanley Holloway, Wilfrid Hyde-White","Drama, Family, Musical            ","https://m.media-amazon.com/images/M/MV5BNGM0ZTU3NmItZmRmMy00YWNjLWEzMWItYzg3MzcwZmM5NjdiXkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_UY98_CR2,0,67,98_AL_.jpg","In 1910s London, snobbish phonetics professor Henry Higgins agrees to a wager that he can make crude flower girl Eliza Doolittle presentable in high society."
Mary Poppins,7.8,U,1964,139 min,"Julie Andrews, Dick Van Dyke, David Tomlinson, Glynis Johns","Comedy, Family, Fantasy            ","https://m.media-amazon.com/images/M/MV5BNmJkODczNjItNDI5Yy00MGI1LTkyOWItZDNmNjM4ZGI1ZDVlL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_UX67_CR0,0,67,98_AL_.jpg","In turn of the century London, a magical nanny employs music and adventure to help two neglected children become closer to their father."
The Innocents,7.8,A,1961,100 min,"Deborah Kerr, Peter Wyngarde, Megs Jenkins, Michael Redgrave",Horror            ,"https://m.media-amazon.com/images/M/MV5BYTYxZTQwOGQtNTJjNC00ZmVhLWJjNTQtYzY0M2VjYzI5MmU1L2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",A young governess for two children becomes convinced that the house and grounds are haunted.
L'avventura,7.8,U,1960,144 min,"Gabriele Ferzetti, Monica Vitti, Lea Massari, Dominique Blanchar","Drama, Mystery, Romance            ","https://m.media-amazon.com/images/M/MV5BNmJlYTVjZTYtZDg1Yy00NzFiLWJmYzYtYTJhMjliY2I2ZTlhXkEyXkFqcGdeQXVyMjgyNjk3MzE@._V1_UX67_CR0,0,67,98_AL_.jpg","A woman disappears during a Mediterranean boating trip. During the search, her lover and her best friend become attracted to each other."
East of Eden,7.8,U,1955,118 min,"James Dean, Raymond Massey, Julie Harris, Burl Ives",Drama            ,"https://m.media-amazon.com/images/M/MV5BMzE1MzdjNmUtOWU5MS00OTgwLWIzYjYtYTYwYTM0NDkyOTU1XkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_UX67_CR0,0,67,98_AL_.jpg","Two brothers in 1910s California struggle to maintain their strict, Bible-toting father's favor as an old secret about their long-absent mother comes to light."
The Day the Earth Stood Still,7.8,U,1951,92 min,"Michael Rennie, Patricia Neal, Hugh Marlowe, Sam Jaffe","Drama, Sci-Fi            ","https://m.media-amazon.com/images/M/MV5BYjUzNGQ0ZTUtNjMzNy00YmFjLTg2NjctM2UwODUzZGZlNDhhXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_UY98_CR1,0,67,98_AL_.jpg","An alien lands in Washington, D.C. and tells the people of Earth that they must live peacefully or be destroyed as a danger to other planets."
The Asphalt Jungle,7.8,NA,1950,112 min,"Sterling Hayden, Louis Calhern, Jean Hagen, James Whitmore","Crime, Drama, Film-Noir            ","https://m.media-amazon.com/images/M/MV5BNWYxNWZjZmEtOTk1Ny00ZWE0LWI1YjAtZmQ0ZjM4OGUwNmJjXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_UX67_CR0,0,67,98_AL_.jpg","A major heist goes off as planned, but then double crosses, bad luck and solid police work cause everything to unravel."
Red River,7.8,NA,1948,133 min,"John Wayne, Montgomery Clift, Joanne Dru, Walter Brennan","Drama, Western            ","https://m.media-amazon.com/images/M/MV5BNzNiOGJhMDUtZjNjMC00YmE5LTk3NjQtNGM4ZjAzOGJjZmRlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX67_CR0,0,67,98_AL_.jpg","Dunson leads a cattle drive, the culmination of over 14 years of work, to its destination in Missouri. But his tyrannical behavior along the way causes a mutiny, led by his adopted son."
Key Largo,7.8,NA,1948,100 min,"Humphrey Bogart, Edward G. Robinson, Lauren Bacall, Lionel Barrymore","Action, Crime, Drama            ","https://m.media-amazon.com/images/M/MV5BNjU0NjU1NjYzN15BMl5BanBnXkFtZTgwMTk0NzE2MjE@._V1_UX67_CR0,0,67,98_AL_.jpg","A man visits his war buddy's family hotel and finds a gangster running things. As a hurricane approaches, the two end up confronting each other."
To Have and Have Not,7.8,PG,1944,100 min,"Humphrey Bogart, Lauren Bacall, Walter Brennan, Dolores Moran","Adventure, Comedy, Film-Noir            ","https://m.media-amazon.com/images/M/MV5BZGU2YmU0MWMtMzg5My00ZmY2LTljMDItMTg2YTI5Y2U2OTE3XkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_UY98_CR0,0,67,98_AL_.jpg","During World War II, American expatriate Harry Morgan helps transport a French Resistance leader and his beautiful wife to Martinique while romancing a sensuous lounge singer."
