Movie_Name,Movie_Rating,Movie_cerificate,Movie_Year,Movie_Runtime,Movie_Cast,Movie_Genre,Movie_Poster,Movie_Des
Hidden Figures,7.8,UA,2016,127 min,"Taraji P. Henson, Octavia Spencer, Janelle Monáe, Kevin Costner","Biography, Drama, History            ","https://m.media-amazon.com/images/M/MV5BMzg2Mzg4YmUtNDdkNy00NWY1LWE3NmEtZWMwNGNlMzE5YzU3XkEyXkFqcGdeQXVyMjA5MTIzMjQ@._V1_UX67_CR0,0,67,98_AL_.jpg",The story of a team of female African-American mathematicians who served a vital role in NASA during the early years of the U.S. space program.
Hunt for the Wilderpeople,7.8,UA,2016,101 min,"Sam Neill, Julian Dennison, Rima Te Wiata, Rachel House","Adventure, Comedy, Drama            ","https://m.media-amazon.com/images/M/MV5BMjI1MDQ2MDg5Ml5BMl5BanBnXkFtZTgwMjc2NjM5ODE@._V1_UX67_CR0,0,67,98_AL_.jpg",A national manhunt is ordered for a rebellious kid and his foster uncle who go missing in the wild New Zealand bush.
Paddington 2,7.8,U,2017,103 min,"Ben Whishaw, Hugh Grant, Hugh Bonneville, Sally Hawkins","Adventure, Comedy, Family            ","https://m.media-amazon.com/images/M/MV5BMmYwNWZlNzEtNjE4Zi00NzQ4LWI2YmUtOWZhNzZhZDYyNmVmXkEyXkFqcGdeQXVyNzYzODM3Mzg@._V1_UX67_CR0,0,67,98_AL_.jpg","Paddington, now happily settled with the Brown family and a popular member of the local community, picks up a series of odd jobs to buy the perfect present for his Aunt Lucy's 100th birthday, only for the gift to be stolen."
Udta Punjab,7.8,A,2016,148 min,"Shahid Kapoor, Alia Bhatt, Kareena Kapoor, Diljit Dosanjh","Action, Crime, Drama            ","https://m.media-amazon.com/images/M/MV5BY2YxNjQxYWYtYzNkMi00YTgyLWIwZTMtYzgyYjZlZmYzZTA0XkEyXkFqcGdeQXVyMTA4NjE0NjEy._V1_UX67_CR0,0,67,98_AL_.jpg",A story that revolves around drug abuse in the affluent north Indian State of Punjab and how the youth there have succumbed to it en-masse resulting in a socio-economic decline.
Kubo and the Two Strings,7.8,U,2016,101 min,"Charlize Theron, Art Parkinson, Matthew McConaughey, Ralph Fiennes","Animation, Action, Adventure            ","https://m.media-amazon.com/images/M/MV5BMjA2Mzg2NDMzNl5BMl5BanBnXkFtZTgwMjcwODUzOTE@._V1_UX67_CR0,0,67,98_AL_.jpg",A young boy named Kubo must locate a magical suit of armour worn by his late father in order to defeat a vengeful spirit from the past.
Manchester by the Sea,7.8,UA,2016,137 min,"Casey Affleck, Michelle Williams, Kyle Chandler, Lucas Hedges",Drama            ,"https://m.media-amazon.com/images/M/MV5BMTYxMjk0NDg4Ml5BMl5BanBnXkFtZTgwODcyNjA5OTE@._V1_UX67_CR0,0,67,98_AL_.jpg",A depressed uncle is asked to take care of his teenage nephew after the boy's father dies.
Under sandet,7.8,R,2015,100 min,"Roland Møller, Louis Hofmann, Joel Basman, Mikkel Boe Følsgaard","Drama, History, War            ","https://m.media-amazon.com/images/M/MV5BMjA0MzQzNjM1Ml5BMl5BanBnXkFtZTgwNjM5MjU5NjE@._V1_UX67_CR0,0,67,98_AL_.jpg","In post-World War II Denmark, a group of young German POWs are forced to clear a beach of thousands of land mines under the watch of a Danish Sergeant who slowly learns to appreciate their plight."
Rogue One,7.8,UA,2016,133 min,"Felicity Jones, Diego Luna, Alan Tudyk, Donnie Yen","Action, Adventure, Sci-Fi            ","https://m.media-amazon.com/images/M/MV5BMjEwMzMxODIzOV5BMl5BanBnXkFtZTgwNzg3OTAzMDI@._V1_UX67_CR0,0,67,98_AL_.jpg","In a time of conflict, a group of unlikely heroes band together on a mission to steal the plans to the Death Star, the Empire's ultimate weapon of destruction."
Captain Fantastic,7.8,18,2016,118 min,"Viggo Mortensen, George MacKay, Samantha Isler, Annalise Basso","Comedy, Drama            ","https://m.media-amazon.com/images/M/MV5BMjE5OTM0OTY5NF5BMl5BanBnXkFtZTgwMDcxOTQ3ODE@._V1_UX67_CR0,0,67,98_AL_.jpg","In the forests of the Pacific Northwest, a father devoted to raising his six kids with a rigorous physical and intellectual education is forced to leave his paradise and enter the world, challenging his idea of what it means to be a parent."
Captain America: Civil War,7.8,UA,2016,147 min,"Chris Evans, Robert Downey Jr., Scarlett Johansson, Sebastian Stan","Action, Adventure, Sci-Fi            ","https://m.media-amazon.com/images/M/MV5BMjQ0MTgyNjAxMV5BMl5BanBnXkFtZTgwNjUzMDkyODE@._V1_UX67_CR0,0,67,98_AL_.jpg",Political involvement in the Avengers' affairs causes a rift between Captain America and Iron Man.
